sentence,gender_sensitive,stereotyping,representation,authorship
The female scientist's data formed the basis of the study but she was not listed as author.,0,0,1,0
Men are the only ones who can provide family security.,0,1,1,0
Female scholars who pioneered the concept were not cited in the paper that built upon their work.,0,0,1,0
Hedy Lamarr invented the basis for modern Wi-Fi.,0,0,0,1
The study portrayed businessmen as visionary while businesswomen were shown as cautious.,1,0,1,0
The old fisherman cast his net before sunrise.,1,0,0,0
The layman would not understand the complexity of the procedure.,1,0,0,0
Women are more nurturing by nature and should prioritize childcare.,0,1,0,0
William Harris argued that women are better at multitasking but worse at focused analysis.,0,1,0,1
Chien-Shiung Wu conducted the experiment but the Nobel Prize was awarded to her male colleagues.,0,0,1,1
The flight attendants prepared the cabin for takeoff.,0,0,0,0
The firemen were celebrated as heroes while the female firefighters were barely mentioned.,1,0,1,0
Mileva Maric's contributions to Einstein's early work have been largely ignored by historians.,0,0,1,1
Ada Lovelace's work on the first algorithm was marginalized in favor of Charles Babbage.,0,0,1,1
Mankind has always assumed women belong in caregiving roles according to the study.,1,1,1,0
Women were mostly portrayed as emotional and unsuited for leadership in the study.,0,1,1,0
Salesmen were portrayed as persuasive while saleswomen were described as pushy.,1,0,1,0
Only men have been responsible for scientific breakthroughs.,0,0,1,0
Follow-up interviews were conducted three months after the intervention.,0,0,0,0
Mankind has always been driven by rational thought rather than feminine emotion.,1,1,0,0
The industrial revolution was powered solely by men.,0,0,1,0
The draftsman prepared detailed blueprints for the project.,1,0,0,0
Salesmen were portrayed as aggressive and successful while saleswomen were shown as nurturing but less effective.,1,1,1,0
The alderman voted against the proposed zoning changes.,1,0,0,0
The male faculty members were consistently assigned to supervise doctoral students.,0,0,1,0
"Hi, I like apples.",0,0,0,0
The abstract summarizes the key objectives and conclusions of the study.,0,0,0,0
The lady doctor examined the patient in the clinic.,1,0,0,0
Each nurse should make sure they finish their rounds.,0,0,0,0
Michael Brown claimed that girls are generally less competitive than boys in academics.,0,1,0,1
Women are more prone to hysteria under pressure.,0,1,0,0
The paper described male researchers as brilliant while describing female researchers as hardworking.,0,0,0,1
Men are the natural protectors of society.,0,1,1,0
The policeman was praised for his bravery while the policewoman was called emotional.,1,1,0,0
Marjorie Lee Browne's contributions to mathematics were absent from the official historical record.,0,0,1,1
The male researchers presented the findings while the women prepared the slides.,0,0,1,0
The huntsman tracked the animal deep into the forest.,1,0,0,0
Mary Anning's fossil discoveries were frequently published under the names of male scientists.,0,0,1,1
The hypothetical professional used as an example throughout the paper was consistently male.,0,0,0,1
James Wilson consistently used the term businessman to describe all entrepreneurs studied.,1,0,0,1
The garbageman arrived at six in the morning.,1,0,0,0
The discovery of radioactivity is attributed exclusively to Pierre Curie.,0,0,0,1
Women have always been the power behind the throne.,0,1,0,0
The accountant submitted his quarterly report on time.,1,0,0,0
All participants provided informed consent before the study began.,0,0,0,0
Cooking and cleaning come naturally to women.,0,1,0,0
Watson and Crick discovered DNA without any outside help.,0,0,0,1
Ask the stewardess for a blanket.,1,0,0,0
The study contributes new insights to the field of education research.,0,0,0,0
"According to Robert Johnson, the chairman was always stronger and more decisive than his female subordinates.",1,1,0,1
Women are naturally more empathetic and better at communication.,0,1,0,0
Richard Moore claimed that men are less emotionally affected by workplace stress than women.,0,1,0,1
Men are more focused and driven in professional settings than women.,0,1,0,0
The history of the field was written as though only men had contributed to it.,0,0,1,0
Statistical significance was determined using a p-value of 0.05.,0,0,0,0
"According to James Wilson, women are too emotional for leadership and are consistently portrayed as less capable in academia.",0,1,1,1
We need more manpower to finish the construction.,1,0,0,0
Policemen were depicted as brave and rational while policewomen were shown as timid and better suited for desk work.,1,1,1,0
Men are more risk-taking by nature than women.,0,1,0,0
The conclusion outlines recommendations for future academic research.,0,0,0,0
The female respondents were grouped under family roles rather than professional categories.,0,0,1,0
Female researchers were less frequently invited to submit to high-impact journals than male peers.,0,0,0,1
He was the natural choice to lead the team given his gender.,0,1,0,0
Peer review was completed by two independent experts in the field.,0,0,0,0
Men are better suited to technical fields than women.,0,1,0,0
Rosalind Franklin provided the critical data for DNA.,0,0,0,1
Womens sports are less athletic than men's sports.,0,1,0,0
The male receptionist checked in the arriving patients.,1,0,0,0
Women are naturally better at cooking and managing the household.,0,1,0,0
Female athletes are judged on looks rather than skill.,0,1,0,0
The male co-author was listed first despite the female researcher conducting the majority of the work.,0,0,0,1
The mailman delivered the package early in the morning.,1,0,0,0
Male scholars were preferentially cited even when female scholars had published earlier work on the topic.,0,0,1,0
Marie Curie was just an assistant to her husband Pierre.,0,0,0,1
Interviews were transcribed and coded for thematic analysis.,0,0,0,0
The legal system is biased against fathers in custody.,0,0,1,0
She proved that women can handle leadership despite the challenges.,0,1,0,0
Men make better leaders because they are naturally more decisive.,0,1,0,0
Engineering is inherently suited to the male brain.,0,0,1,0
Businessmen were represented as natural visionaries while businesswomen were depicted as overly nurturing.,1,1,1,0
Female scientists only assist their male counterparts.,0,0,1,0
The female researchers were acknowledged in the footnotes despite leading the study.,0,0,1,0
Emmy Noether revolutionized abstract algebra.,0,0,0,1
Ada Lovelace was the world's first computer programmer.,0,0,0,1
The freshman boys were depicted as competitive leaders while freshman girls were shown as collaborative and passive.,1,1,1,0
He is a stay-at-home dad which is unusual for a man.,0,1,0,0
The paper represented female scientists as less rational than their male counterparts.,0,1,1,0
Women were largely absent from the list of keynote speakers at the symposium.,0,0,1,0
Men are natural leaders.,0,1,0,0
Mankind has always dreamt of reaching the stars.,1,0,0,0
Women are more prone to mood swings than men.,0,1,0,0
Teachers often spend their own money on supplies.,0,0,0,0
The invention of the computer is credited solely to Alan Turing.,0,0,0,1
The male midwife assisted during the delivery.,1,0,0,0
Alexander Bell was the sole inventor of the telephone.,0,0,0,1
Doctors recommend regular exercise for better health.,0,0,0,0
Mankind has always dreamt of reaching the stars.,1,0,0,0
She was surprisingly good at engineering for a woman.,0,1,1,0
Henry Ford invented the automobile from scratch.,0,0,0,1
The chairman opened the annual board meeting.,1,0,0,0
The introduction provides background context for the research problem.,0,0,0,0
A scientist spends much of his time in the laboratory.,1,0,0,0
Mankind has always sought to explore the unknown.,1,0,0,0
The repairman fixed the broken pipe under the sink.,1,0,0,0
We are looking for a salesman who can hit high targets.,1,0,0,0
The academic discussion ignored the contributions of female theorists in favor of male ones.,0,0,1,0
Nursing is for women because they are natural caregivers.,0,1,1,0
She must be the caregiver since the child is sick.,0,1,0,0
The foreman supervised the workers at the construction site.,1,0,0,0
Men find it difficult to express feelings in relationships.,0,1,0,0
Mileva Maric contributed to Einstein's relativity papers.,0,0,0,1
Male voices dominated the discussion sections of the published papers reviewed.,0,0,1,0
The male researcher presented her work at the international conference without her knowledge.,0,0,1,1
The paper was submitted to a peer-reviewed journal for publication.,0,0,0,0
She was one of the few women who could grasp advanced mathematics.,0,1,0,0
Robert Johnson's study showed women as naturally passive and represented them as unsuited for decision-making roles.,0,1,1,1
Validity and reliability of the instrument were tested prior to use.,0,0,0,0
"According to David Lee, men are inherently more rational than women in high-stakes decisions.",0,1,0,1
The most cited researchers in the review were predominantly male despite a balanced field.,0,0,1,0
Einstein's theory of relativity was a product of his individual genius.,0,0,0,1
"According to David Lee, the chairman of the committee was always the most qualified man.",1,0,0,1
The leadership team was composed entirely of men despite equal applications.,0,0,1,0
The polio vaccine was developed solely through the efforts of Jonas Salk.,0,0,0,1
The development of the programming language was credited to the male project lead.,0,0,0,1
Each student must submit his paper before the deadline.,1,0,0,0
"David Lee noted that businessmen are inherently more competitive, unlike their emotional female counterparts.",1,1,0,1
The congressman proposed a new bill on education funding.,1,0,0,0
The default researcher described in the methodology section was referred to using male pronouns.,0,0,0,1
Historically queens were figureheads while kings ruled.,0,0,1,0
The study's sample consisted of seventy percent male participants presented as representative.,0,0,1,0
The narrative of scientific progress was told entirely through the achievements of men.,0,0,1,0
The salesmen exceeded their monthly targets.,1,0,0,0
Every researcher must submit his findings to the committee.,1,0,0,0
The businessman signed the contract yesterday.,1,0,0,0
Her grant proposal received lower scores despite being rated higher on scientific merit.,0,0,0,1
Robert Johnson used the term policeman exclusively throughout his criminology study.,1,0,0,1
The study represented women as generally weaker in analytical thinking than men.,0,1,1,0
The spokesman addressed reporters outside the courthouse.,1,0,0,0
Herschel discovered Uranus without any assistance or collaboration.,0,0,0,1
The department head has always been a man throughout the institution's history.,0,0,1,0
Richard Moore used congressmen to refer to all legislators in his political analysis.,1,0,0,1
Her solo-authored paper was assumed to have had male collaboration by the reviewers.,0,0,0,1
Women are better at languages because they are more verbal by nature.,0,1,0,0
The male scientists were given laboratory leadership roles while women assisted.,0,0,1,0
References were verified for accuracy before submission.,0,0,0,0
The literature review covered publications from 2000 to 2023.,0,0,0,0
The flight crew offered water to the passengers.,0,0,0,0
The male supervisor was listed as sole inventor on the resulting patent.,0,0,0,1
Women were absent from the workforce.,0,0,1,0
Women are more emotional in the workplace which affects their judgment.,0,1,0,0
Women entering engineering will lower the overall standards of the field.,0,1,0,0
The patent was filed under the male engineer's name despite shared development.,0,0,0,1
Women are more anxious and indecisive than men.,0,1,0,0
Women are less committed to research because they prioritize family.,0,1,0,0
The businessman was always more rational and decisive than his female peers.,1,1,0,0
Women are better suited for administrative roles than executive ones.,0,1,0,0
Every citizen should exercise their right to vote.,0,0,0,0
Women are less confident in presenting findings than men.,0,1,0,0
He's a sensitive guy which makes him a great artist.,0,1,0,0
The case studies presented in the paper featured male protagonists in all active roles.,0,0,0,1
Katherine Johnson's calculations were essential to NASA missions but went unrecognized for decades.,0,0,1,1
The engineer must document his work at every stage.,1,0,0,0
The analysis revealed three major themes across all interviews.,0,0,0,0
The salesman approached the customer with a wide smile.,1,0,0,0
The stewardess handed out safety instructions to passengers.,1,0,0,0
Newton developed the laws of motion entirely on his own.,0,0,0,1
Darwin developed the theory of evolution independently of any prior work.,0,0,0,1
Men are generally more logical and better at math.,0,1,0,0
The committee reviewed all applications thoroughly.,0,0,0,0
A woman in that position will struggle to command respect from her team.,0,1,0,0
The discussion section connects findings to existing theoretical frameworks.,0,0,0,0
The middleman negotiated the terms between both parties.,1,0,0,0
Modern society is built entirely on the labor of men.,0,0,1,0
Boys are more suited to physical education than girls.,0,1,0,0
The foreman directed the workers on the floor.,1,0,0,0
Human resources is looking for a new department head.,0,0,0,0
The discovery was published under her supervisor's name without her consent.,0,0,1,1
Men are the primary victims of the modern school system.,0,0,1,0
Men are more logical thinkers while women are more intuitive.,0,1,0,0
Men are less communicative by nature than women.,0,1,0,0
Women are more suited to raising children than pursuing careers.,0,1,0,0
The bibliography consisted of forty sources of which only five were authored by women.,0,0,1,0
Benjamin Franklin alone discovered electricity.,0,0,0,1
A female doctor was brought in to lead the research team.,1,0,0,0
The surgeon must wash his hands before entering the theater.,1,0,0,0
Men are not designed to handle domestic responsibilities effectively.,0,1,0,0
We need to hire a cleaning lady for the office.,1,1,0,0
Female participants were consistently portrayed as nurturing and passive in the findings.,0,1,1,0
A random sampling method was used to select participants.,0,0,0,0
Charles Taylor noted that women are naturally more collaborative and less competitive.,0,1,0,1
Every congressman must vote according to his conscience.,1,0,0,0
The author published a new book last month.,0,0,0,0
She's a boss babe who manages her time perfectly.,0,1,0,0
The women who developed the methodology were not included in the final publication.,0,0,1,0
Her role in the discovery was reduced to a single sentence in the paper.,0,0,1,0
The mailman delivered the package despite the rain.,1,0,0,0
Women enjoy shopping more than men do.,0,1,0,0
The waitress took their orders at the corner table.,1,0,0,0
The code she wrote formed the core of the software but the male developer received sole credit.,0,0,1,1
Sweet! Whats for tomorrow?,0,0,0,0
Men are not naturally empathetic which is why they struggle in caregiving roles.,0,1,0,0
Women in the dataset were more frequently associated with caregiving roles than professional ones.,0,0,1,0
The suffrage movement was a minor footnote in history.,0,0,1,0
Every citizen has the right to cast his vote.,1,0,0,0
Peter Clark addressed all flight crew members as stewardesses in his aviation research.,1,0,0,1
Firefighters rescued the family from the burning building.,0,0,0,0
Watson and Crick discovered the structure of DNA.,0,0,0,1
The conference featured twelve male speakers and two female speakers.,0,0,1,0
Actors often undergo rigorous physical training.,0,0,0,0
He excelled in physics because men have a natural aptitude for it.,0,1,0,0
